i,j,w
25504145,25504146,7.873
25504146,25504145,7.873
25504148,25504145,7.731
25504149,1835355916,3.751
25504149,1707790044,7.038
25504753,9684083976,45.4
25504755,3704225374,29.887
25504755,367105858,8.217
25504756,25504777,19.034
25504756,1268892467,5.744
25504760,9684083971,1.857
25504763,367105859,23.316
25504763,25504770,25.89
25504769,7223709664,6.059
25504769,25504777,28.808
25504770,25504763,25.89
25504770,367105858,13.231
25504777,25504769,28.808
25504777,25504756,19.034
25504779,1938819288,16.675
25505561,9691102358,3.924
25505585,25505679,17.404
25505593,25505630,3.005
25505593,25505643,19.421
25505607,25505679,21.772
25505607,7572833380,11.642
25505618,1828402762,2.789
25505618,1828402764,26.011
25505622,1938819284,3.801
25505624,25505561,7.886
25505629,3704225375,2.669
25505629,1938819279,26.082
25505630,3664398006,25.554
25505630,25505593,3.005
25505634,25505685,28.089
25505643,25505593,19.421
25505643,1828402762,3.802
25505648,2919962040,9.593
25505653,1852996734,40.254
25505662,2142508727,8.128
25505662,25505607,150.347
25505670,4866475730,17.621
25505670,20626315,11.427
25505673,4866651966,10.174
25505673,1311961910,6.928
25505677,3704225380,15.498
25505679,25505585,17.404
25505679,25505607,21.772
25505685,1852996856,6.267
25505685,2504822135,53.232
25505695,1828402763,4.016
25505695,2142508727,10.599
25509513,1938819348,14.76
25509525,9201323564,2.508
25509526,9201323575,3.631
25509527,9856119617,5.875
25509527,9805219989,6.758
25509527,7946372933,5.545
25509533,109409,23.497
25509533,9805219989,1.814
25509534,1236791408,21.293
25524297,5177397418,12.682
