,cluster_id0,cluster_id1,cluster_id2,cluster_id3,cluster_id4,cluster_id5,cluster_id6
252,97.0,91.0,2.0,2.0,2.0,1.0,1
253,7.0,7.0,4.0,2.0,2.0,1.0,1
254,12.0,12.0,4.0,2.0,2.0,1.0,1
255,9.0,9.0,4.0,2.0,2.0,1.0,1
256,9.0,9.0,4.0,2.0,2.0,1.0,1
257,9.0,9.0,4.0,2.0,2.0,1.0,1
258,17.0,2.0,2.0,2.0,2.0,1.0,1
259,17.0,2.0,2.0,2.0,2.0,1.0,1
260,17.0,2.0,2.0,2.0,2.0,1.0,1
261,17.0,2.0,2.0,2.0,2.0,1.0,1
262,40.0,38.0,4.0,2.0,2.0,1.0,1
263,9.0,9.0,4.0,2.0,2.0,1.0,1
264,9.0,9.0,4.0,2.0,2.0,1.0,1
265,17.0,2.0,2.0,2.0,2.0,1.0,1
266,17.0,2.0,2.0,2.0,2.0,1.0,1
267,17.0,2.0,2.0,2.0,2.0,1.0,1
268,17.0,2.0,2.0,2.0,2.0,1.0,1
269,17.0,2.0,2.0,2.0,2.0,1.0,1
270,17.0,2.0,2.0,2.0,2.0,1.0,1
271,17.0,2.0,2.0,2.0,2.0,1.0,1
272,17.0,2.0,2.0,2.0,2.0,1.0,1
273,17.0,2.0,2.0,2.0,2.0,1.0,1
274,17.0,2.0,2.0,2.0,2.0,1.0,1
275,17.0,2.0,2.0,2.0,2.0,1.0,1
276,17.0,2.0,2.0,2.0,2.0,1.0,1
277,17.0,2.0,2.0,2.0,2.0,1.0,1
278,17.0,2.0,2.0,2.0,2.0,1.0,1
279,17.0,2.0,2.0,2.0,2.0,1.0,1
280,17.0,2.0,2.0,2.0,2.0,1.0,1
281,17.0,2.0,2.0,2.0,2.0,1.0,1
282,17.0,2.0,2.0,2.0,2.0,1.0,1
283,17.0,2.0,2.0,2.0,2.0,1.0,1
284,17.0,2.0,2.0,2.0,2.0,1.0,1
285,17.0,2.0,2.0,2.0,2.0,1.0,1
286,17.0,2.0,2.0,2.0,2.0,1.0,1
287,17.0,2.0,2.0,2.0,2.0,1.0,1
288,48.0,45.0,25.0,21.0,20.0,1.0,1
289,48.0,45.0,25.0,21.0,20.0,1.0,1
290,17.0,2.0,2.0,2.0,2.0,1.0,1
291,1.0,1.0,1.0,1.0,1.0,1.0,1
292,1.0,1.0,1.0,1.0,1.0,1.0,1
293,149.0,140.0,1.0,1.0,1.0,1.0,1
294,119.0,110.0,62.0,55.0,2.0,1.0,1
295,119.0,110.0,62.0,55.0,2.0,1.0,1
296,12.0,12.0,4.0,2.0,2.0,1.0,1
297,119.0,110.0,62.0,55.0,2.0,1.0,1
298,119.0,110.0,62.0,55.0,2.0,1.0,1
299,16.0,2.0,2.0,2.0,2.0,1.0,1
300,197.0,183.0,52.0,7.0,2.0,1.0,1
301,17.0,2.0,2.0,2.0,2.0,1.0,1
302,13.0,13.0,8.0,7.0,2.0,1.0,1
303,12.0,12.0,4.0,2.0,2.0,1.0,1
304,13.0,13.0,8.0,7.0,2.0,1.0,1
305,178.0,165.0,4.0,2.0,2.0,1.0,1
306,,,,,,,1
307,7.0,7.0,4.0,2.0,2.0,1.0,1
308,169.0,158.0,4.0,2.0,2.0,1.0,1
309,24.0,22.0,2.0,2.0,2.0,1.0,1
310,24.0,22.0,2.0,2.0,2.0,1.0,1
311,7.0,7.0,4.0,2.0,2.0,1.0,1
312,14.0,14.0,4.0,2.0,2.0,1.0,1
313,,,,,,,1
314,56.0,53.0,30.0,26.0,24.0,1.0,1
315,32.0,30.0,4.0,2.0,2.0,1.0,1
316,16.0,2.0,2.0,2.0,2.0,1.0,1
317,2.0,2.0,2.0,2.0,2.0,1.0,1
318,24.0,22.0,2.0,2.0,2.0,1.0,1
319,2.0,2.0,2.0,2.0,2.0,1.0,1
320,14.0,14.0,4.0,2.0,2.0,1.0,1
321,206.0,192.0,109.0,98.0,80.0,1.0,1
322,12.0,12.0,4.0,2.0,2.0,1.0,1
323,24.0,22.0,2.0,2.0,2.0,1.0,1
324,12.0,12.0,4.0,2.0,2.0,1.0,1
325,24.0,22.0,2.0,2.0,2.0,1.0,1
326,24.0,22.0,2.0,2.0,2.0,1.0,1
327,19.0,17.0,9.0,2.0,2.0,1.0,1
328,207.0,160.0,91.0,82.0,69.0,61.0,1
329,73.0,70.0,4.0,2.0,2.0,1.0,1
330,24.0,22.0,2.0,2.0,2.0,1.0,1
331,207.0,160.0,91.0,82.0,69.0,61.0,1
332,24.0,22.0,2.0,2.0,2.0,1.0,1
333,8.0,8.0,4.0,2.0,2.0,1.0,1
334,24.0,22.0,2.0,2.0,2.0,1.0,1
335,16.0,2.0,2.0,2.0,2.0,1.0,1
336,24.0,22.0,2.0,2.0,2.0,1.0,1
337,24.0,22.0,2.0,2.0,2.0,1.0,1
338,24.0,22.0,2.0,2.0,2.0,1.0,1
339,24.0,22.0,2.0,2.0,2.0,1.0,1
340,105.0,97.0,4.0,2.0,2.0,1.0,1
341,17.0,2.0,2.0,2.0,2.0,1.0,1
342,52.0,49.0,28.0,24.0,2.0,1.0,1
343,206.0,192.0,109.0,98.0,80.0,1.0,1
344,206.0,192.0,109.0,98.0,80.0,1.0,1
345,4.0,4.0,4.0,2.0,2.0,1.0,1
346,4.0,4.0,4.0,2.0,2.0,1.0,1
347,4.0,4.0,4.0,2.0,2.0,1.0,1
348,8.0,8.0,4.0,2.0,2.0,1.0,1
349,149.0,140.0,1.0,1.0,1.0,1.0,1
350,149.0,140.0,1.0,1.0,1.0,1.0,1
351,7.0,7.0,4.0,2.0,2.0,1.0,1
352,149.0,140.0,1.0,1.0,1.0,1.0,1
353,149.0,140.0,1.0,1.0,1.0,1.0,1
354,149.0,140.0,1.0,1.0,1.0,1.0,1
355,150.0,140.0,1.0,1.0,1.0,1.0,1
356,16.0,2.0,2.0,2.0,2.0,1.0,1
357,7.0,7.0,4.0,2.0,2.0,1.0,1
358,90.0,87.0,45.0,2.0,2.0,1.0,1
359,66.0,64.0,2.0,2.0,2.0,1.0,1
360,26.0,24.0,1.0,1.0,1.0,1.0,1
361,24.0,22.0,2.0,2.0,2.0,1.0,1
362,76.0,73.0,2.0,2.0,2.0,1.0,1
363,18.0,16.0,1.0,1.0,1.0,1.0,1
364,40.0,38.0,4.0,2.0,2.0,1.0,1
365,261.0,242.0,123.0,112.0,91.0,80.0,1
366,18.0,16.0,1.0,1.0,1.0,1.0,1
367,18.0,16.0,1.0,1.0,1.0,1.0,1
368,261.0,242.0,123.0,112.0,91.0,80.0,1
369,17.0,2.0,2.0,2.0,2.0,1.0,1
370,261.0,242.0,123.0,112.0,91.0,80.0,1
371,261.0,242.0,123.0,112.0,91.0,80.0,1
372,7.0,7.0,4.0,2.0,2.0,1.0,1
373,28.0,26.0,4.0,2.0,2.0,1.0,1
374,17.0,2.0,2.0,2.0,2.0,1.0,1
375,,,,,,,1
376,,,,,,,1
377,9.0,9.0,4.0,2.0,2.0,1.0,1
378,18.0,16.0,1.0,1.0,1.0,1.0,1
379,9.0,9.0,4.0,2.0,2.0,1.0,1
380,16.0,2.0,2.0,2.0,2.0,1.0,1
381,17.0,2.0,2.0,2.0,2.0,1.0,1
382,9.0,9.0,4.0,2.0,2.0,1.0,1
383,16.0,2.0,2.0,2.0,2.0,1.0,1
384,169.0,158.0,4.0,2.0,2.0,1.0,1
385,155.0,144.0,2.0,2.0,2.0,1.0,1
386,155.0,144.0,2.0,2.0,2.0,1.0,1
387,16.0,2.0,2.0,2.0,2.0,1.0,1
388,164.0,153.0,4.0,2.0,2.0,1.0,1
389,2.0,2.0,2.0,2.0,2.0,1.0,1
390,164.0,153.0,4.0,2.0,2.0,1.0,1
391,164.0,153.0,4.0,2.0,2.0,1.0,1
392,17.0,2.0,2.0,2.0,2.0,1.0,1
393,73.0,70.0,4.0,2.0,2.0,1.0,1
394,73.0,70.0,4.0,2.0,2.0,1.0,1
395,20.0,18.0,2.0,2.0,2.0,1.0,1
396,20.0,18.0,2.0,2.0,2.0,1.0,1
397,20.0,18.0,2.0,2.0,2.0,1.0,1
398,20.0,18.0,2.0,2.0,2.0,1.0,1
399,20.0,18.0,2.0,2.0,2.0,1.0,1
400,20.0,18.0,2.0,2.0,2.0,1.0,1
401,20.0,18.0,2.0,2.0,2.0,1.0,1
402,20.0,18.0,2.0,2.0,2.0,1.0,1
403,20.0,18.0,2.0,2.0,2.0,1.0,1
404,20.0,18.0,2.0,2.0,2.0,1.0,1
405,20.0,18.0,2.0,2.0,2.0,1.0,1
406,206.0,192.0,109.0,98.0,80.0,1.0,1
407,20.0,18.0,2.0,2.0,2.0,1.0,1
408,20.0,18.0,2.0,2.0,2.0,1.0,1
409,20.0,18.0,2.0,2.0,2.0,1.0,1
410,20.0,18.0,2.0,2.0,2.0,1.0,1
411,20.0,18.0,2.0,2.0,2.0,1.0,1
412,20.0,18.0,2.0,2.0,2.0,1.0,1
413,9.0,9.0,4.0,2.0,2.0,1.0,1
414,9.0,9.0,4.0,2.0,2.0,1.0,1
415,12.0,12.0,4.0,2.0,2.0,1.0,1
416,9.0,9.0,4.0,2.0,2.0,1.0,1
417,9.0,9.0,4.0,2.0,2.0,1.0,1
418,20.0,18.0,2.0,2.0,2.0,1.0,1
419,9.0,9.0,4.0,2.0,2.0,1.0,1
420,2.0,2.0,2.0,2.0,2.0,1.0,1
421,120.0,112.0,64.0,2.0,2.0,1.0,1
422,107.0,98.0,52.0,7.0,2.0,1.0,1
423,7.0,7.0,4.0,2.0,2.0,1.0,1
424,73.0,70.0,4.0,2.0,2.0,1.0,1
425,52.0,49.0,28.0,24.0,2.0,1.0,1
426,17.0,2.0,2.0,2.0,2.0,1.0,1
427,2.0,2.0,2.0,2.0,2.0,1.0,1
428,73.0,70.0,4.0,2.0,2.0,1.0,1
429,20.0,18.0,2.0,2.0,2.0,1.0,1
430,20.0,18.0,2.0,2.0,2.0,1.0,1
431,20.0,18.0,2.0,2.0,2.0,1.0,1
432,53.0,50.0,29.0,25.0,23.0,20.0,1
433,20.0,18.0,2.0,2.0,2.0,1.0,1
434,13.0,13.0,8.0,7.0,2.0,1.0,1
435,13.0,13.0,8.0,7.0,2.0,1.0,1
436,7.0,7.0,4.0,2.0,2.0,1.0,1
437,16.0,2.0,2.0,2.0,2.0,1.0,1
438,13.0,13.0,8.0,7.0,2.0,1.0,1
439,,,,,,,1
440,13.0,13.0,8.0,7.0,2.0,1.0,1
441,,,,,,,1
442,132.0,123.0,69.0,61.0,2.0,1.0,1
443,132.0,123.0,69.0,61.0,2.0,1.0,1
444,132.0,123.0,69.0,61.0,2.0,1.0,1
445,40.0,38.0,4.0,2.0,2.0,1.0,1
446,17.0,2.0,2.0,2.0,2.0,1.0,1
447,,,,,,,1
448,58.0,56.0,31.0,27.0,25.0,21.0,1
449,20.0,18.0,2.0,2.0,2.0,1.0,1
450,20.0,18.0,2.0,2.0,2.0,1.0,1
451,17.0,2.0,2.0,2.0,2.0,1.0,1
452,20.0,18.0,2.0,2.0,2.0,1.0,1
453,20.0,18.0,2.0,2.0,2.0,1.0,1
454,73.0,70.0,4.0,2.0,2.0,1.0,1
455,8.0,8.0,4.0,2.0,2.0,1.0,1
456,,,,,,,1
457,8.0,8.0,4.0,2.0,2.0,1.0,1
458,9.0,9.0,4.0,2.0,2.0,1.0,1
459,42.0,40.0,2.0,2.0,2.0,1.0,1
460,164.0,153.0,4.0,2.0,2.0,1.0,1
461,164.0,153.0,4.0,2.0,2.0,1.0,1
462,164.0,153.0,4.0,2.0,2.0,1.0,1
463,12.0,12.0,4.0,2.0,2.0,1.0,1
464,164.0,153.0,4.0,2.0,2.0,1.0,1
465,9.0,9.0,4.0,2.0,2.0,1.0,1
466,126.0,118.0,4.0,2.0,2.0,1.0,1
467,8.0,8.0,4.0,2.0,2.0,1.0,1
468,8.0,8.0,4.0,2.0,2.0,1.0,1
469,53.0,50.0,29.0,25.0,23.0,20.0,1
470,207.0,160.0,91.0,82.0,69.0,61.0,1
471,171.0,160.0,91.0,82.0,69.0,61.0,1
472,53.0,50.0,29.0,25.0,23.0,20.0,1
473,2.0,2.0,2.0,2.0,2.0,1.0,1
474,2.0,2.0,2.0,2.0,2.0,1.0,1
475,2.0,2.0,2.0,2.0,2.0,1.0,1
476,9.0,9.0,4.0,2.0,2.0,1.0,1
477,2.0,2.0,2.0,2.0,2.0,1.0,1
478,2.0,2.0,2.0,2.0,2.0,1.0,1
479,2.0,2.0,2.0,2.0,2.0,1.0,1
480,2.0,2.0,2.0,2.0,2.0,1.0,1
481,17.0,2.0,2.0,2.0,2.0,1.0,1
482,17.0,2.0,2.0,2.0,2.0,1.0,1
483,17.0,2.0,2.0,2.0,2.0,1.0,1
484,17.0,2.0,2.0,2.0,2.0,1.0,1
485,17.0,2.0,2.0,2.0,2.0,1.0,1
486,17.0,2.0,2.0,2.0,2.0,1.0,1
487,17.0,2.0,2.0,2.0,2.0,1.0,1
488,17.0,2.0,2.0,2.0,2.0,1.0,1
489,8.0,8.0,4.0,2.0,2.0,1.0,1
490,12.0,12.0,4.0,2.0,2.0,1.0,1
491,65.0,63.0,37.0,33.0,2.0,1.0,1
492,52.0,49.0,28.0,24.0,2.0,1.0,1
493,6.0,6.0,4.0,2.0,2.0,1.0,1
494,18.0,16.0,1.0,1.0,1.0,1.0,1
495,19.0,17.0,9.0,2.0,2.0,1.0,1
496,19.0,17.0,9.0,2.0,2.0,1.0,1
497,7.0,7.0,4.0,2.0,2.0,1.0,1
498,7.0,7.0,4.0,2.0,2.0,1.0,1
499,7.0,7.0,4.0,2.0,2.0,1.0,1
500,7.0,7.0,4.0,2.0,2.0,1.0,1
501,7.0,7.0,4.0,2.0,2.0,1.0,1
502,,,,,,,1
503,7.0,7.0,4.0,2.0,2.0,1.0,1
504,19.0,17.0,9.0,2.0,2.0,1.0,1
505,127.0,9.0,4.0,2.0,2.0,1.0,1
506,8.0,8.0,4.0,2.0,2.0,1.0,1
507,127.0,9.0,4.0,2.0,2.0,1.0,1
508,9.0,9.0,4.0,2.0,2.0,1.0,1
509,126.0,118.0,4.0,2.0,2.0,1.0,1
510,126.0,118.0,4.0,2.0,2.0,1.0,1
